Time(s)	Velocity_X(km/s)	Position_X(km)
85.88888888888889	-0.0004575041826577294	7099.980295400429
86.0	-0.00045809089529024675	7099.980244534017
86.0	-0.00045809089524546904	7099.98024453379
86.2	-0.00045914696624030317	7099.980152915611
86.3	-0.0004596749541533897	7099.980106868906
86.8	-0.0004623148409040192	7099.97987637153
86.88888888888889	-0.00046278412646803265	7099.979835256186
87.0	-0.0004633707216354491	7099.979783803121
87.0	-0.00046337072159072755	7099.9797838028935
87.2	-0.0004644265811555603	7099.979691128749
87.3	-0.0004649544633827555	7099.979644554109
87.8	-0.0004675938217362167	7099.97941141711
87.88888888888889	-0.00046806301337984065	7099.9793698325275
88.0	-0.0004686494911540084	7099.979317792927
88.0	-0.00046864949110934294	7099.9793177926995
88.2	-0.00046970513937350227	7099.979224062801
88.3	-0.00047023291597944654	7099.979176960332
88.8	-0.0004728717462589145	7099.9789411842385
88.88888888888889	-0.00047334084403958854	7099.978899130511
89.0	-0.0004739272044923011	7099.978846504491
89.0	-0.00047392720444769165	7099.978846504264
89.2	-0.00047498264154040016	7099.978751718823
89.3	-0.0004755103125896811	7099.9787040886295
89.8	-0.0004781486151180675	7099.97846567397
89.88888888888889	-0.0004786176190931844	7099.978423151192
90.0	-0.0004792038622961769	7099.97836993887
90.0	-0.0004792038622516234	7099.978369938643
90.2	-0.0004802590883019984	7099.97827409787
90.3	-0.0004807866538591509	7099.978225940058
90.8	-0.0004834244289591044	7099.9779848873595
90.88888888888889	-0.0004838933391860101	7099.977941895625
91.0	-0.00048447946521095917	7099.977888097118
91.0	-0.00048447946516646156	7099.977888096891
91.2	-0.0004855344803035151	7099.977791200998
91.3	-0.0004860619404330216	7099.977742515673
91.8	-0.0004886991884269278	7099.977498825463
91.88888888888889	-0.0004891680049629218	7099.977455364865
92.0	-0.0004897540138814456	7099.97740098029
92.0	-0.0004897540138370038	7099.977400980063
92.2	-0.0004908088181896429	7099.97730302926
92.3	-0.0004913361729559332	7099.977253816528
92.8	-0.0004939728941659154	7099.977007489334
92.88888888888889	-0.0004944416170682501	7099.976963559965
93.0	-0.0004950275089519086	7099.97690858944
93.0	-0.0004950275089075226	7099.976908589214
93.2	-0.0004960821026045492	7099.976809583713
93.3	-0.0004966093520720007	7099.976759843677
93.8	-0.0004992455468199196	7099.976510880026
93.88888888888889	-0.0004997141761458012	7099.976466481981
94.0	-0.0005002999510660959	7099.976410925623
94.0	-0.0005002999510217656	7099.9764109253965
94.2	-0.0005013543341918769	7099.976310865406
94.3	-0.0005018814784248148	7099.976260598175
94.8	-0.000504517147032269	7099.976008998591
94.88888888888889	-0.0005049856828388569	7099.975964131964
95.0	-0.0005055713408672314	7099.9759079898895
95.0	-0.0005055713408229567	7099.975907989663
95.2	-0.0005066255135947451	7099.9758068753945
95.3	-0.0005071525526574417	7099.975756081072
95.8	-0.0005097876954457683	7099.975501846082
